dataset,rows,columns,duplicate_rows,memory_mb
call_attempts,120000,9,0,56.13
calls,91350,11,1271,52.35
whatsapp_events,60600,8,600,28.41
account_status_history,60000,8,0,27.73
sms_events,45000,8,0,20.86
daily_targeting,45000,7,0,15.21
call_dispositions,35000,8,0,16.08
borrowers,30600,8,600,12.98
accounts,30000,11,0,13.79
agents,30000,8,0,13.73
payments,25500,9,486,11.85
field_visits,25000,10,0,12.04
promises_to_pay,18000,9,0,8.39
agent_sessions,15000,7,0,6.03
complaints,8000,9,0,4.13
data_dictionary,143,3,0,0.02
campaigns,120,7,0,0.05
vendor_telephony,15,6,0,0.0
