dataset,column,min_date,max_date,invalid_dates
account_status_history,event_at,2026-01-01 00:01:08.000000000,2026-08-08 23:50:45.000000000,0
account_status_history,status,,,60000
account_status_history,recorded_at,2025-12-31 01:26:29.000000000,2026-08-09 22:02:27.000000000,0
accounts,status,,,30000
accounts,opened_at,2024-01-01 00:02:27.000000000,2025-11-30 23:52:36.000000000,0
accounts,timezone,,,30000
agent_sessions,login_at,2026-01-01 00:01:57.000000000,2026-08-08 23:51:54.000000000,0
agent_sessions,timezone,,,15000
agent_sessions,logout_at,2026-01-01 04:48:48.000000000,2026-08-09 07:50:12.000000000,0
agents,status,,,30000
agents,joined_at,2024-01-01 00:10:05.000000000,2025-11-30 23:23:30.000000000,0
agents,updated_at,2025-01-01 00:57:32.000000000,2026-08-03 23:45:38.000000000,0
borrowers,created_at,2025-01-01 00:14:38.000000000,2026-08-03 23:37:55.000000000,0
borrowers,updated_at,2025-01-01 00:19:40.000000000,2026-08-03 23:48:36.000000000,0
borrowers,state,,,30600
call_attempts,attempt_id,,,120000
call_attempts,event_at,2026-01-01 00:01:18.000000000,2026-08-08 23:58:40.000000000,0
call_attempts,attempt_no,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000007,0
call_attempts,attempt_status,,,120000
call_dispositions,event_at,2026-01-01 00:10:00.000000000,2026-08-08 23:50:50.000000000,0
calls,event_at,2025-12-29 06:52:37.000000000,2026-08-12 15:43:05.000000000,0
calls,call_status,,,91350
calls,duration_sec,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000899,0
calls,timezone,,,91350
campaigns,strategy_version,,,120
campaigns,start_at,2026-01-01 09:34:51.000000000,2026-05-29 20:31:27.000000000,0
campaigns,end_at,2026-01-16 12:12:50.000000000,2026-08-16 18:13:39.000000000,0
complaints,event_at,2026-01-01 00:38:02.000000000,2026-08-08 23:35:33.000000000,0
complaints,status,,,8000
complaints,resolution_at,2026-01-02 07:36:01.000000000,2026-08-26 13:22:27.000000000,0
daily_targeting,target_date,2026-01-01 00:00:00.000000000,2026-08-08 00:00:00.000000000,0
daily_targeting,status,,,45000
data_dictionary,dataset,,,143
field_visits,event_at,2026-01-01 00:07:53.000000000,2026-08-08 23:50:03.000000000,0
field_visits,latitude,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000034,0
field_visits,scheduled_at,2025-12-31 05:21:55.000000000,2026-08-08 21:50:07.000000000,250
payments,event_at,2026-01-01 00:14:40.000000000,2026-08-08 23:50:23.000000000,0
payments,payment_status,,,25500
promises_to_pay,event_at,2026-01-01 00:24:14.000000000,2026-08-08 23:59:33.000000000,0
promises_to_pay,promised_date,2026-01-02 04:36:18.000000000,2026-09-06 21:23:52.000000000,0
promises_to_pay,status,,,18000
sms_events,event_at,2026-01-01 00:04:16.000000000,2026-08-08 23:46:06.000000000,0
sms_events,template_code,,,45000
vendor_telephony,timezone,,,15
vendor_telephony,status,,,15
whatsapp_events,whatsapp_event_id,,,60600
whatsapp_events,event_at,2026-01-01 00:01:49.000000000,2026-08-08 23:56:16.000000000,0
whatsapp_events,template_code,,,60600
