dataset,total_rows,duplicate_rows,duplicate_pct
calls,91350,1271,1.39
borrowers,30600,600,1.96
whatsapp_events,60600,600,0.99
payments,25500,486,1.91
accounts,30000,0,0.0
account_status_history,60000,0,0.0
call_attempts,120000,0,0.0
call_dispositions,35000,0,0.0
agents,30000,0,0.0
agent_sessions,15000,0,0.0
complaints,8000,0,0.0
campaigns,120,0,0.0
data_dictionary,143,0,0.0
daily_targeting,45000,0,0.0
field_visits,25000,0,0.0
promises_to_pay,18000,0,0.0
sms_events,45000,0,0.0
vendor_telephony,15,0,0.0
