hour,calls,answered,answer_rate
0,3629,738,20.336180766051253
1,3745,768,20.50734312416555
2,3878,723,18.643630737493552
3,3775,755,20.0
4,3697,747,20.20557208547471
5,3797,729,19.19936792204372
6,3815,755,19.790301441677588
7,3793,748,19.72053783284999
8,3700,699,18.891891891891895
9,3699,767,20.735333874020007
10,3793,744,19.615080411283945
11,3845,708,18.413524057217163
12,3678,739,20.092441544317563
13,3812,760,19.937040923399792
14,3700,765,20.675675675675677
15,3641,714,19.609997253501785
16,3842,759,19.755335762623634
17,3631,751,20.683007435968054
18,3782,772,20.412480169222633
19,3774,731,19.36936936936937
20,3682,736,19.989136338946224
21,3715,774,20.834454912516822
22,3681,718,19.50556913882097
23,3896,796,20.431211498973305
