dpd,accounts,recovered,recovery,recovery_rate,recovery_per_account
0,2685,1220,117587848.12,45.43761638733706,43794.35684171323
1,2713,1161,117106661.66,42.79395503133063,43165.00614080354
5,2727,1222,123297413.22,44.81114778144481,45213.57287128713
15,2736,1178,116317879.83,43.05555555555556,42513.844967105266
30,2704,1158,114993927.91,42.82544378698225,42527.34020340237
45,2744,1257,123185700.89,45.809037900874635,44892.7481377551
60,2770,1267,129825675.22,45.74007220216607,46868.47480866426
75,2741,1215,119957596.2,44.32688799708136,43764.172272893105
90,2727,1221,118874023.87,44.77447744774478,43591.501235790245
120,2759,1225,123657019.04,44.40014498006524,44819.50671982603
180,2694,1160,111670718.18,43.05864884929473,41451.640007423906
