dataset,column,dtype,rows,null_count,null_pct,unique_count,unique_pct
account_status_history,history_id,object,60000,0,0.0,60000,100.0
account_status_history,account_id,object,60000,0,0.0,25999,43.33
account_status_history,borrower_id,object,60000,0,0.0,11916,19.86
account_status_history,event_at,object,60000,0,0.0,59898,99.83
account_status_history,status,object,60000,0,0.0,7,0.01
account_status_history,changed_by,object,60000,0,0.0,101,0.17
account_status_history,source,object,60000,0,0.0,5,0.01
account_status_history,recorded_at,object,60000,0,0.0,59906,99.84
accounts,account_id,object,30000,0,0.0,30000,100.0
accounts,borrower_id,object,30000,455,1.52,10944,36.48
accounts,loan_type,object,30000,0,0.0,5,0.02
accounts,principal_amount,float64,30000,0,0.0,29996,99.99
accounts,outstanding_amount,float64,30000,0,0.0,29994,99.98
accounts,dpd,int64,30000,0,0.0,11,0.04
accounts,risk_segment,object,30000,0,0.0,4,0.01
accounts,status,object,30000,0,0.0,4,0.01
accounts,opened_at,object,30000,0,0.0,29993,99.98
accounts,timezone,object,30000,0,0.0,3,0.01
accounts,schema_version,object,30000,0,0.0,3,0.01
agent_sessions,session_id,object,15000,0,0.0,15000,100.0
agent_sessions,agent_id,object,15000,0,0.0,1000,6.67
agent_sessions,login_at,object,15000,0,0.0,14996,99.97
agent_sessions,channel,object,15000,0,0.0,4,0.03
agent_sessions,device_id,object,15000,0,0.0,1500,10.0
agent_sessions,timezone,object,15000,0,0.0,2,0.01
agent_sessions,logout_at,object,15000,0,0.0,14996,99.97
agents,agent_id,object,30000,0,0.0,1000,3.33
agents,employee_code,object,30000,0,0.0,1099,3.66
agents,agent_name,object,30000,0,0.0,10,0.03
agents,vendor_id,object,30000,0,0.0,15,0.05
agents,team,object,30000,0,0.0,5,0.02
agents,status,object,30000,0,0.0,3,0.01
agents,joined_at,object,30000,0,0.0,29995,99.98
agents,updated_at,object,30000,0,0.0,29987,99.96
borrowers,borrower_id,object,30600,0,0.0,11015,36.0
borrowers,name,object,30600,0,0.0,10,0.03
borrowers,phone,float64,30600,614,2.01,29396,96.07
borrowers,email,object,30600,895,2.92,15378,50.25
borrowers,city,object,30600,0,0.0,10,0.03
borrowers,created_at,object,30600,0,0.0,29997,98.03
borrowers,updated_at,object,30600,0,0.0,29991,98.01
borrowers,state,object,30600,0,0.0,9,0.03
call_attempts,attempt_id,object,120000,0,0.0,120000,100.0
call_attempts,account_id,object,120000,0,0.0,29451,24.54
call_attempts,borrower_id,object,120000,0,0.0,12000,10.0
call_attempts,event_at,object,120000,0,0.0,119605,99.67
call_attempts,call_id,object,120000,0,0.0,66244,55.2
call_attempts,agent_id,object,120000,0,0.0,1000,0.83
call_attempts,attempt_no,int64,120000,0,0.0,7,0.01
call_attempts,vendor_id,object,120000,2400,2.0,16,0.01
call_attempts,attempt_status,object,120000,0,0.0,5,0.0
call_dispositions,disposition_id,object,35000,0,0.0,35000,100.0
call_dispositions,account_id,object,35000,0,0.0,20603,58.87
call_dispositions,borrower_id,object,35000,0,0.0,11359,32.45
call_dispositions,event_at,object,35000,0,0.0,34966,99.9
call_dispositions,call_id,object,35000,0,0.0,28971,82.77
call_dispositions,agent_id,object,35000,0,0.0,1000,2.86
call_dispositions,disposition_code,object,35000,0,0.0,9,0.03
call_dispositions,disposition_version,object,35000,0,0.0,3,0.01
calls,call_id,object,91350,0,0.0,90000,98.52
calls,account_id,object,91350,0,0.0,28408,31.1
calls,borrower_id,object,91350,0,0.0,11992,13.13
calls,event_at,object,91350,0,0.0,89796,98.3
calls,agent_id,object,91350,1827,2.0,1001,1.1
calls,campaign_id,object,91350,0,0.0,120,0.13
calls,direction,object,91350,0,0.0,2,0.0
calls,vendor_id,object,91350,0,0.0,15,0.02
