parent_table,parent_key,child_table,child_key,relationship
borrowers,borrower_id,accounts,borrower_id,one-to-many
accounts,account_id,calls,account_id,one-to-many
accounts,account_id,call_attempts,account_id,one-to-many
accounts,account_id,call_dispositions,account_id,one-to-many
accounts,account_id,payments,account_id,one-to-many
accounts,account_id,promises_to_pay,account_id,one-to-many
accounts,account_id,field_visits,account_id,one-to-many
accounts,account_id,whatsapp_events,account_id,one-to-many
accounts,account_id,sms_events,account_id,one-to-many
accounts,account_id,daily_targeting,account_id,one-to-many
accounts,account_id,account_status_history,account_id,one-to-many
accounts,account_id,complaints,account_id,one-to-many
agents,agent_id,agent_sessions,agent_id,one-to-many
agents,agent_id,calls,agent_id,one-to-many
agents,agent_id,call_attempts,agent_id,one-to-many
agents,agent_id,call_dispositions,agent_id,one-to-many
agents,agent_id,promises_to_pay,agent_id,one-to-many
agents,agent_id,field_visits,agent_id,one-to-many
campaigns,campaign_id,calls,campaign_id,one-to-many
campaigns,campaign_id,daily_targeting,campaign_id,one-to-many
vendor_telephony,vendor_id,calls,vendor_id,one-to-many
vendor_telephony,vendor_id,call_attempts,vendor_id,one-to-many
vendor_telephony,vendor_id,sms_events,provider_id,one-to-many
vendor_telephony,vendor_id,whatsapp_events,provider_id,one-to-many
